,,,,Marketwise Price & Arrival Report (10-04-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Apr, 2026","Price on 09 Apr, 2026","Price on 08 Apr, 2026","Arrival on 10 Apr, 2026","Arrival on 09 Apr, 2026","Arrival on 08 Apr, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2224.76,2090.00,2017.89,159.50,215.90,354.90
Cereals,Jowar(Sorghum),3699.00,3500.00,3526.84,5664.95,40.90,31.10,9.70
Cereals,Maize,2400.00,1814.04,1809.51,1818.77,3021.00,5063.20,4937.70
Cereals,Paddy(Common),2369.00,2177.02,2164.16,2228.13,3008.10,2809.30,2288.70
Cereals,Ragi(Finger Millet),4886.00,3215.93,3504.63,3468.51,225.60,279.80,425.20
Cereals,Wheat,2585.00,3770.33,3674.40,3668.61,223.00,289.10,54.30
Fibre Crops,Cotton,7710.00,8354.72,8090.07,8326.58,899.40,534.60,1097.90
Oil Seeds,Copra,12100.00,19000.00,20959.53,13120.50,10.10,52.00,51.50
Oil Seeds,Groundnut,7263.00,6552.61,6196.38,6503.07,310.20,406.10,397.70
Oil Seeds,Mustard,6200.00,-,-,10250.00,-,-,10.50
Oil Seeds,Safflower,6540.00,5190.24,5356.75,5608.14,23.40,10.10,11.80
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,-,-,13940.98,-,-,6.10
Oil Seeds,Soyabean,5328.00,5636.12,5433.12,5337.06,72.30,91.10,58.60
Oil Seeds,Sunflower,7721.00,6477.16,6535.37,6601.87,920.00,950.50,1135.50
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7410.05,7263.82,7491.24,473.10,711.50,839.30
Pulses,Bengal Gram(Gram)(Whole),5875.00,5489.96,5194.22,5397.86,285.60,206.20,469.10
Pulses,Black Gram(Urd Beans)(Whole),7800.00,12400.00,12400.00,12400.00,26.80,9.00,78.50
Pulses,Green Gram(Moong)(Whole),8768.00,7509.09,8055.18,7311.33,113.60,172.10,233.40

