-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2014 through 12/31/2024 in LST
Location: Latitude  13.094   Longitude 77.5751 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,2014,0.0,0.01,0.17,0.21,2.7,3.02,1.61,2.1,4.82,4.47,0.53,0.19,1.66
PRECTOTCORR,2015,0.06,0.05,0.69,2.89,2.84,2.52,1.1,2.61,3.31,3.16,7.55,0.33,2.26
PRECTOTCORR,2016,0.08,0.0,0.74,0.13,3.63,4.62,4.59,1.35,1.12,0.83,0.06,1.96,1.6
PRECTOTCORR,2017,0.17,0.0,1.13,0.72,4.1,2.25,2.21,6.4,9.0,8.09,1.03,0.42,2.98
PRECTOTCORR,2018,0.0,0.2,0.71,1.0,5.0,1.89,1.9,1.76,3.77,2.01,0.78,0.15,1.61
PRECTOTCORR,2019,0.34,0.62,0.0,1.29,3.36,1.84,1.82,4.31,5.38,6.05,1.34,0.43,2.24
PRECTOTCORR,2020,0.01,0.0,0.27,2.05,1.83,5.77,5.66,3.48,6.55,5.07,3.31,0.93,2.91
PRECTOTCORR,2021,0.62,0.63,0.0,2.13,5.21,2.48,6.57,3.46,4.34,5.85,6.7,0.44,3.22
PRECTOTCORR,2022,0.07,0.0,0.39,1.68,6.13,5.09,3.97,16.06,5.27,5.83,2.23,3.12,4.19
PRECTOTCORR,2023,0.01,0.01,1.29,0.99,4.37,3.34,2.28,2.13,5.65,1.85,2.27,0.55,2.07
PRECTOTCORR,2024,0.11,0.0,0.0,0.0,3.75,4.93,1.99,6.12,1.65,7.34,1.38,3.27,2.56
RH2M,2014,62.93,49.84,41.22,37.36,61.29,70.88,74.99,77.84,78.01,80.72,72.72,70.13,64.95
RH2M,2015,57.94,46.01,48.3,57.64,67.27,74.81,70.56,72.67,74.01,74.0,85.82,78.11,67.37
RH2M,2016,67.23,53.03,45.95,38.68,60.84,76.5,77.9,76.68,73.59,62.11,51.07,59.41,61.99
RH2M,2017,57.29,43.26,48.36,40.81,63.53,73.11,71.64,79.1,85.83,87.17,86.33,80.82,68.27
RH2M,2018,68.26,55.33,44.53,48.25,68.14,74.98,75.03,74.02,72.29,69.07,66.51,61.43,64.89
RH2M,2019,52.33,50.58,36.84,41.32,60.5,68.59,72.06,77.33,82.07,86.61,84.15,77.57,65.92
RH2M,2020,64.69,51.32,44.26,50.73,56.27,73.8,83.71,83.49,86.25,86.2,85.9,83.33,70.9
RH2M,2021,75.87,59.46,44.28,52.15,69.54,76.26,82.82,80.88,82.6,86.26,89.1,82.76,73.6
RH2M,2022,75.72,61.55,44.08,52.23,71.94,78.53,81.85,84.33,86.48,85.82,85.55,84.17,74.44
RH2M,2023,74.02,56.24,51.95,45.56,67.44,70.64,75.66,69.93,80.82,76.15,77.17,72.29,68.25
RH2M,2024,62.44,49.06,37.77,38.14,64.57,75.77,77.57,81.65,77.91,84.71,82.9,83.2,68.07
T2M,2014,21.23,23.92,26.12,29.56,27.4,25.5,23.84,23.33,23.35,22.39,20.87,21.25,24.06
T2M,2015,21.62,23.02,25.92,26.96,26.03,24.28,24.81,24.52,24.28,23.1,21.13,20.71,23.87
T2M,2016,20.77,24.45,27.38,30.95,27.47,23.76,23.47,23.74,23.57,23.9,23.43,21.07,24.49
T2M,2017,21.31,23.14,26.35,29.78,27.32,24.3,24.39,23.58,22.84,21.95,20.83,19.09,23.74
T2M,2018,19.8,21.77,25.98,28.81,26.44,23.93,23.86,23.72,24.33,23.41,22.88,22.68,23.97
T2M,2019,21.4,24.7,28.55,29.33,28.07,25.91,24.41,23.43,23.1,22.55,21.88,21.57,24.57
T2M,2020,22.6,24.5,27.46,27.95,28.43,24.56,22.97,23.14,22.29,22.06,21.08,19.75,23.9
T2M,2021,20.9,21.63,25.94,27.68,26.07,23.87,23.08,23.14,22.95,22.82,21.33,19.81,23.27
T2M,2022,20.86,22.57,26.38,27.99,25.69,23.72,23.01,22.84,22.47,21.88,20.31,20.02,23.14
T2M,2023,18.82,21.88,24.86,28.0,26.85,25.59,23.94,25.39,23.4,23.49,23.15,22.3,23.98
T2M,2024,23.0,25.38,27.99,30.31,27.71,24.09,23.7,23.9,23.92,23.2,21.88,21.58,24.71
